id,difficulty,song,correct_character,other_characters,spotify_uri,youtube_id
61,medium,The Green Mile,green_mile_hanks,philadelphia_hanks;saving_private_ryan_hanks;forrest_gump_hanks;cast_away_hanks;sully_hanks,ce9b9b7163ed4217,gSXdiuOj3b8
62,medium,In the Hall of the Mountain King,grieg,beethoven;mozart;bach;chopin;schubert,22d321ae55c14913,IKwstbpvNMc
63,medium,Hedwig's Theme,hagrid,gandalf;hook;saruman;aslan;mufasa,407879ec571049e1,wtHra9tFISY
64,medium,The Asteroid Field,han_solo,gandalf;ethan_hunt_tc;maverick_tc;james_bond;indiana_jones,e14d1c25f3ab4bf5,XNDEljd1cQI
65,medium,Lisan al Gaib,harkonnen,sauron;voldemort;saruman;thanos;erik_killmonger,f4f05d9ccf9b440c,HnES5cg-5Rc
66,easy,Jingle Bell Rock,harry_bandit,lucas;patrick;charlie_brown;good_men_tc;interstellar,2f484af53eca4cc9,Z0ajuTaHBtM
67,easy,Hedwig's Theme,harry_potter,rose;gandalf;doctor_strange;ethan_hunt_tc;luke_skywalker,3941cdb7fe294be8,wtHra9tFISY
68,medium,Breaking Bad Theme,heisenberg,philadelphia_hanks;dexter;rick_grimes;rust_cohle;tony_montana,2335fb95143c45c5,ilfYnhXD-bE
69,medium,Game of Thrones Theme,hodor,hagrid;samwise;boromir;aragorn;william_wallace,f72d3232474c4bd6,uXZd_W5B7N0
70,medium,Hook-Napped,hook,jack_sparrow;blackbeard;long_john_silver;conan;captain_phillips_hanks,ffed86dfcf5b4394,MLCCEuIAG9M
71,easy,Husvagn,husvagn,pippi;marv;ove;kevin_mccallister;truckdriver,270dc12079d94e6c,t4CGLR6A3kM
72,medium,Top Gun Theme,iceman,javier_pena;han_solo;voldemort;james_bond;jason_bourne,7ce50e2d98524462,iNJLFWlfep4
73,medium,Time (Inception),inception,interstellar;edge_of_tmrw_tc;luke_skywalker;jack_dawson;doctor_strange,4441b2cc18bb4695,jgyShFzdB_Q
74,medium,Raiders March,indiana_jones,nathan_drake;grant_jurassic_park;james_bond;saruman;hook,6fab03af2f68490d,bC77czRbjd0
75,medium,Inspector Gadget Theme,inspector_gadget,sherlock_holmes;poirot;clouseau;nathan_drake;rick_sanchez,79555f407caa438e,XUB8ScEhPsA
76,medium,Cornfield Chase,interstellar,inception;edge_of_tmrw_tc;harkonnen;doctor_doom;darth_vader,e5e7b0ce3b164faf,7GlsxNI4LVI
77,easy,Spiderman Main Title,j_jonah_jameson,perry;chief_brody;les_grossman_tc;doc_brown;venkman,f51dccb4eeb94be2,tbhdL8VLhwI
78,medium,My Heart Will Go On,jack_dawson,jerry_maguire_tc;mary_jane;maverick_tc;han_solo;rick_grimes,576923ddb2234551,Siz-xBfIqpg
79,easy,This Is Halloween,jack_skellington,beetlejuice;pennywise;phantom;joker;voldemort,36cf8680881b4dc6,ntsrWX-0FE4
80,medium,He's a Pirate,jack_sparrow,blackbeard;hook;long_john_silver;cast_away_hanks;captain_phillips_hanks,6701bc73897a4691,BuYf0taXoNw
81,medium,James Bond Theme,james_bond,ethan_hunt_tc;jason_bourne;indiana_jones;nathan_drake;john_mcclane,73ed4c53e533413f,milCpGBouPc
82,medium,Magic Dance,jareth_the_goblin_king,phantom;beetlejuice;jack_skellington;voldemort;pennywise,162de67df583494f,j6NqnYYmSVE
83,easy,A Whole New World,jasmine,ariel;pocahontas;mulan;elsa;anastasia,3ea6d479dff24649,uAcSiVeVXpI
84,medium,Extreme Ways (Bourne Theme),jason_bourne,james_bond;ethan_hunt_tc;john_mcclane;indiana_jones;nathan_drake,1b7b7c75eb914202,aYAoeYE9CLs
85,medium,Tuyo (Narcos Theme),javier_pena,tony_montana;rust_cohle;j_jonah_jameson;heisenberg;harkonnen,eb8f40a419f3462d,zNPXnAVyAUA
86,medium,Secret Garden,jerry_maguire_tc,rain_man_tc;les_grossman_tc;good_men_tc;maverick_tc;risky_business_tc,3c97aa7876c84e56,WY1spB1J0vw
87,medium,Rocket Scientist,jesse_pinkman,john_bender;dexter;rick_grimes;rust_cohle;tony_montana,a3ddeb0b6ad546e2,l9yc2SNJLNk
88,medium,Don't You (Forget About Me),john_bender,kevin_mccallister;marty_mcfly;jerry_maguire_tc;lucas;charlie_brown,529e0a79e9ca45f1,CdqoNKCCt7A
89,medium,Skeletons,john_mcclane,ethan_hunt_tc;james_bond;jason_bourne;nathan_drake;rick_grimes,7d201db42c07473e,XsUsj7YSjf4
90,medium,The Dark Knight Theme (Joker),joker,pennywise;beetlejuice;voldemort;green_goblin;phantom,39cb145cd17e4305,ypmrU7QfiDc
91,easy,"Main Title ""Somewhere iny My Memory"" (From ""Home Alone"")",kevin_mccallister,lucas;charlie_brown;schindler;john_mcclane;john_bender,4e5583da56af4a97,U89pW3kgOJ0
